序号,英文单词,音标,词性,中文含义
1,ability,/əˈbɪləˌti/,n,能力，才能
2,able,/ˈeɪbəl/,adj,能够；有能力的
3,about,/əˈbaʊt/,adv / prep,大约；到处，四处；关于
4,above,/əˈbəv/,prep,在……上面
5,abroad,/əˈbrɔd/,adv,到(在)国外
6,accept,/əkˈsɛpt/,v,接受
7,accident,/ˈæksədənt/,n,事故，意外的事
8,accurate,/ˈækjərət/,adj,准确的
9,ache,/eɪk/,n,疼；痛
10,achieve,/əˈʧiv/,v,达到，获得
11,across,/əˈkrɔs/,prep,横过，穿过
12,act,/ækt/,v,表演，扮演(角色)；行动
13,active,/ˈæktɪv/,adj,积极的；活跃的
14,activity,/ækˈtɪvɪti/,n,活动
15,actor,/ˈæktər/,n,男演员
16,actress,/ˈæktrəs/,n,女演员
17,actually,/ˈæˌkʧuəli/,adv,实际上； 现实地
18,add,/æd/,v,添加，增加
19,addition,/əˈdɪʃən/,n,增加
20,address,/ˈæˌdrɛs/,n,地址
21,adult,/ˈædəlt/,n & adj,成年人
22,advantage,/ædˈvæntɪʤ/,n,有利条件；优势；优点
23,adventure,/ədˈvɛnʧər/,n,冒险；冒险经历；冒险精神
24,advertisement,/ˌædvərˈtaɪzmənt/,n,广告
25,advice,/ədˈvaɪs/,n,忠告，劝告，建议
26,advise,/ədˈvaɪz/,v,劝告，建议
27,afford,/əˈfɔrd/,v,负担得起，抽得出(时间)
28,afraid,/əˈfreɪd/,adj,害怕的；担心的
29,after,/ˈæftər/,prep / adv / conj,在……之后；在……后面；在后；后来；在……以后
30,afternoon,/ˌæftərˈnun/,n,下午
31,again,/əˈgɛn/,adv,再一次；再，又
32,against,/əˈgɛnst/,prep,对着；反对
33,age,/eɪʤ/,n,年龄；时代
34,aged,/ˈeɪʤɪd/,adj,有……年岁的；上年龄的
35,ago,/əˈgoʊ/,adv,以前
36,agree,/əˈgri/,v,同意；应允
37,ahead,/əˈhɛd/,adv,在前，向前
38,aim,/eɪm/,n / v,目的；目标；打算；瞄准
39,air,/ɛr/,n,空气；大气
40,airline,/ˈɛˌrlaɪn/,n,航线
41,airport,/ˈɛrˌpɔrt/,n,机场
42,alarm,/əˈlɑrm/,n,警报
43,alive,/əˈlaɪv/,adj,活着的，存在的
44,all,/ɔl/,adj / adv / pron / n,全(部)；总；整；全部地；全部；全体人员；全部；全体人员
45,allow,/əˈlaʊ/,v,允许，准许
46,almost,/ˈɔlˌmoʊst/,adv,几乎，差不多
47,alone,/əˈloʊn/,adj / adv,单独的；单独地
48,along,/əˈlɔŋ/,prep / adv,沿着；顺着；向前；和……一起；一同
49,already,/ɔˈrɛdi/,adv,已经
50,also,/ˈɔlsoʊ/,adv,也
51,although/though,/ˌɔlˈðoʊ/ /ðoʊ/,conj,虽然，尽管
52,altogether,/ˌɔltəˈgɛðər/,adv,总共；全部地
53,always,/ˈɔlˌweɪz/,adv,总是；一直；永远
54,A.M. (a.m.),/a.m*/,,上午
55,amazing,/əˈmeɪzɪŋ/,adj,令人惊讶的；令人赞叹的
56,ambition,/æmˈbɪʃən/,n,雄心；野心
57,among,/əˈməŋ/,prep,在……中间；在(三个以上)之间
58,amount,/əˈmaʊnt/,n,数量，总数
