序号,英文单词,音标,词性,中文含义
1,ability,/əˈbɪləˌti/,,
2,able,/ˈeɪbəl/,,
3,about,/əˈbaʊt/,,
4,above,/əˈbəv/,,
5,abroad,/əˈbrɔd/,,
6,accept,/əkˈsɛpt/,,
7,accident,/ˈæksədənt/,,
8,accurate,/ˈækjərət/,,
9,ache,/eɪk/,,
10,achieve,/əˈʧiv/,,
11,across,/əˈkrɔs/,,
12,act,/ækt/,,
13,active,/ˈæktɪv/,,
14,activity,/ækˈtɪvɪti/,,
15,actor,/ˈæktər/,,
16,actress,/ˈæktrəs/,,
17,actually,/ˈæˌkʧuəli/,,
18,add,/æd/,,
19,addition,/əˈdɪʃən/,,
20,address,/ˈæˌdrɛs/,,
21,adult,/ˈædəlt/,,
22,advantage,/ædˈvæntɪʤ/,,
23,adventure,/ədˈvɛnʧər/,,
24,advertisement,/ˌædvərˈtaɪzmənt/,,
25,advice,/ədˈvaɪs/,,
26,advise,/ədˈvaɪz/,,
27,afford,/əˈfɔrd/,,
28,afraid,/əˈfreɪd/,,
29,after,/ˈæftər/,,
30,afternoon,/ˌæftərˈnun/,,
31,again,/əˈgɛn/,,
32,against,/əˈgɛnst/,,
33,age,/eɪʤ/,,
34,aged,/ˈeɪʤɪd/,,
35,ago,/əˈgoʊ/,,
36,agree,/əˈgri/,,
37,ahead,/əˈhɛd/,,
38,aim,/eɪm/,,
39,air,/ɛr/,,
40,airline,/ˈɛˌrlaɪn/,,
41,airport,/ˈɛrˌpɔrt/,,
42,alarm,/əˈlɑrm/,,
43,alive,/əˈlaɪv/,,
44,all,/ɔl/,,
45,allow,/əˈlaʊ/,,
46,almost,/ˈɔlˌmoʊst/,,
47,alone,/əˈloʊn/,,
48,along,/əˈlɔŋ/,,
49,already,/ɔˈrɛdi/,,
50,also,/ˈɔlsoʊ/,,
51,although/though,/ˌɔlˈðoʊ/ /ðoʊ/,,
52,altogether,/ˌɔltəˈgɛðər/,,
53,always,/ˈɔlˌweɪz/,,
54,A.M. (a.m.),/a.m*/,,
55,amazing,/əˈmeɪzɪŋ/,,
56,ambition,/æmˈbɪʃən/,,
57,among,/əˈməŋ/,,
58,amount,/əˈmaʊnt/,,
59,amusement,/əmˈjuzmənt/,,
60,amusing,/əmˈjuzɪŋ/,,
61,ancient,/ˈeɪnʧənt/,,
62,and,/ənd/,,
63,angrily,/ˈæŋgrəli/,,
64,angry,/ˈæŋgri/,,
65,animal,/ˈænəməl/,,
66,another,/əˈnəðər/,,
67,answer,/ˈænsər/,,
68,any,/ˈɛni/,,
69,anybody/anyone,/ˈɛnibədi/ /ˈɛniˌwən/,,
70,anything,/ˈɛniˌθɪŋ/,,
71,anywhere,/ˈɛniˌwɛr/,,
72,apologize,/əˈpɑləˌʤaɪz/,,
73,appear,/əˈpɪr/,,
74,apple,/ˈæpəl/,,
75,apply,/əˈplaɪ/,,
76,area,/ˈɛriə/,,
77,argue,/ˈɑrgju/,,
78,arm,/ɑrm/,,
79,army,/ˈɑrmi/,,
80,around,/əraʊnd/,,
81,arrange,/əreɪnʤ/,,
82,arrival,/ərˈaɪvəl/,,
83,arrive,/əraɪv/,,
84,art,/ɑrt/,,
85,article,/ˈɑrtɪkəl/,,
86,artist,/ˈɑrtɪst/,,
87,as,/ɛz/,,
88,ask,/æsk/,,
89,assistant,/əˈsɪstənt/,,
90,at,/æt/,,
91,attack,/əˈtæk/,,
92,attend,/əˈtɛnd/,,
93,attention,/əˈtɛnʃən/,,
94,attitude,/ˈætəˌtud/,,
95,attract,/əˈtrækt/,,
96,attractive,/əˈtræktɪv/,,
97,audience,/ˈɔdiəns/,,
98,aunt,/ɔnt/,,
99,automatic,/ˌɔtəˈmætɪk/,,
100,autumn,/ˈɔtəm/,,
101,available,/əˈveɪləbəl/,,
102,average,/ˈævərɪʤ/,,
103,avoid,/əˈvɔɪd/,,
104,award,/əˈwɔrd/,,
105,away,/əˈweɪ/,,
106,awful,/ˈɔfəl/,,
107,baby,/ˈbeɪbi/,,
108,back,/bæk/,,
109,background,/ˈbækˌgraʊnd/,,
110,bad (比较级 worse，最高级 worst),/bæd/,,
111,bag,/bæg/,,
112,bakery,/ˈbeɪkəri/,,
113,balance,/ˈbæləns/,,
114,ball,/bɔl/,,
115,balloon,/bəˈlun/,,
116,banana,/bəˈnænə/,,
117,bank,/bæŋk/,,
118,bar,/bɑr/,,
119,base,/beɪs/,,
120,basic,/ˈbeɪsɪk/,,
121,basket,/ˈbæskət/,,
122,basketball,/ˈbæskətˌbɔl/,,
123,bath,/bæθ/,,
124,bathroom,/ˈbæθˌrum/,,
125,battery,/ˈbætəri/,,
126,battle,/ˈbætəl/,,
127,be,/bi/,,
128,"being, been)",/biɪŋ/ /bɪn)/,,
129,beach,/biʧ/,,
130,bear,/bɛr/,,
131,"beat (beat, beaten)",/bit/,,
132,beautiful,/ˈbjutəfəl/,,
133,beautifully,/ˈbjutəfli/,,
134,beauty,/ˈbjuti/,,
135,because,/bɪˈkəz/,,
136,"become (became, become)",/bɪˈkəm/,,
137,bed,/bɛd/,,
138,bedroom,/ˈbɛˌdrum/,,
139,beef,/bif/,,
140,before,/ˌbiˈfɔr/,,
141,beg,/bɛg/,,
142,"begin (began, begun)",/bɪˈgɪn/,,
143,beginning,/bɪˈgɪnɪŋ/,,
144,behavior,/bɪˈheɪvjər/,,
145,behind,/bɪˈhaɪnd/,,
146,being,/biɪŋ/,,
147,believe,/bɪˈliv/,,
148,bell,/bɛl/,,
149,belong,/bɪˈlɔŋ/,,
150,below,/bɪˈloʊ/,,
151,belt,/bɛlt/,,
152,beside,/ˌbiˈsaɪd/,,
153,besides,/ˌbiˈsaɪdz/,,
154,"best (good, well 的最高级)",/bɛst/,,
155,"better (good, well 的比较级)",/ˈbɛtər/,,
156,between,/bɪtˈwin/,,
157,bicycle/bike,/ˈbaɪsɪkəl/ /baɪk/,,
158,big,/bɪg/,,
159,bill,/bɪl/,,
160,bin,/bɪn/,,
161,bird,/bərd/,,
162,birthday,/ˈbərθˌdeɪ/,,
163,biscuit,/ˈbɪskət/,,
164,bit,/bɪt/,,
165,"bite (bit, bitten)",/baɪt/,,
166,black,/blæk/,,
167,blackboard,/ˈblækˌbɔrd/,,
168,blanket,/ˈblæŋkɪt/,,
169,blind,/blaɪnd/,,
170,block,/blɑk/,,
171,blood,/bləd/,,
